source,sumlevel,geoid,name,st,cnty,T14B_est1,T14B_est2,T14B_est3,T14B_est4,T14B_est5,T14B_est6,T14B_est7,T14B_est8,T14B_est9,T14B_est10,T14B_est11,T14B_est12,T14B_est13,T14B_est14,T14B_est15,T14B_est16,T14B_est17,T14B_est18,T14B_est19,T14B_moe1,T14B_moe2,T14B_moe3,T14B_moe4,T14B_moe5,T14B_moe6,T14B_moe7,T14B_moe8,T14B_moe9,T14B_moe10,T14B_moe11,T14B_moe12,T14B_moe13,T14B_moe14,T14B_moe15,T14B_moe16,T14B_moe17,T14B_moe18,T14B_moe19
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,255,4,250,10,0,10,0,35,0,4,30,95,0,70,25,105,0,75,30,169,4,169,23,27,23,27,39,27,12,36,120,27,108,42,104,27,117,46
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,11905,285,11620,905,40,235,625,3280,200,1745,1335,2705,210,1480,1015,4730,615,2435,1680,889,158,882,251,42,130,207,558,124,395,329,424,127,367,255,636,193,476,303
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,380,20,360,150,25,60,65,160,10,125,25,50,25,0,25,0,0,0,0,136,23,134,84,39,54,51,92,13,84,36,48,38,21,30,21,21,21,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,21,0,21,0,0,21,21,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,415,20,395,275,0,105,165,110,10,75,25,4,0,0,4,10,0,10,0,129,21,128,125,27,70,107,71,13,66,30,7,27,27,7,16,27,16,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,25,15,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,25,18,19,18,18,18,18,19,18,19,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,220,55,170,30,4,25,0,115,20,30,65,25,15,10,0,0,0,0,0,86,48,79,25,13,24,21,72,31,33,55,29,29,13,21,21,21,21,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,660,105,555,65,0,20,40,410,70,255,85,75,0,45,30,4,4,0,0,214,89,195,58,27,37,47,149,58,142,64,69,27,51,46,10,10,27,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,420,130,285,45,20,0,30,20,0,0,20,140,40,75,30,80,0,40,40,156,77,135,55,33,24,45,34,24,24,34,111,62,70,47,89,24,64,63
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,360,80,280,140,0,90,50,95,0,25,70,15,0,15,0,30,0,30,0,164,80,150,89,21,71,56,106,21,41,99,24,21,24,21,45,21,45,21
2012thru2016,050,05000US01021,"Chilton County, Alabama",01,021,415,0,415,125,0,35,95,200,0,70,130,90,4,0,85,0,0,0,0,199,24,199,98,24,44,87,131,24,87,106,92,10,24,94,24,24,24,24
2012thru2016,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,18,18,18,18,0,0,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01025,"Clarke County, Alabama",01,025,120,20,95,45,0,4,40,45,0,20,25,4,0,0,4,0,0,0,0,77,40,65,37,21,4,35,54,21,37,43,10,21,21,10,21,21,21,21
2012thru2016,050,05000US01027,"Clay County, Alabama",01,027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18,0,0,18,0,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01029,"Cleburne County, Alabama",01,029,45,4,40,0,0,0,0,40,10,10,20,0,0,0,0,0,0,0,0,40,3,40,18,18,18,18,40,14,17,34,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01031,"Coffee County, Alabama",01,031,815,220,595,130,40,65,20,270,55,125,95,180,0,30,150,15,10,4,0,216,145,165,74,45,58,24,142,65,102,90,128,27,46,121,17,13,10,27
2012thru2016,050,05000US01033,"Colbert County, Alabama",01,033,615,265,350,165,35,115,10,130,30,105,0,20,20,0,0,40,0,0,40,180,117,151,103,49,90,16,96,45,83,27,33,33,27,27,59,27,27,59
2012thru2016,050,05000US01035,"Conecuh County, Alabama",01,035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18,0,0,0,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01037,"Coosa County, Alabama",01,037,105,35,70,30,0,25,4,40,0,40,0,0,0,0,0,0,0,0,0,70,46,51,35,18,34,8,36,18,36,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01039,"Covington County, Alabama",01,039,420,105,315,105,0,75,30,190,70,45,75,20,20,0,0,0,0,0,0,106,68,96,53,24,38,37,77,53,40,55,32,32,24,24,24,24,24,24
2012thru2016,050,05000US01041,"Crenshaw County, Alabama",01,041,85,40,45,25,0,15,10,20,0,10,10,0,0,0,0,0,0,0,0,42,36,28,23,18,19,14,15,18,12,10,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01043,"Cullman County, Alabama",01,043,685,40,645,115,0,105,10,380,190,130,60,70,20,30,20,75,25,0,55,256,35,251,76,27,72,20,203,132,95,81,60,37,43,29,91,38,27,86
2012thru2016,050,05000US01045,"Dale County, Alabama",01,045,670,115,555,225,0,125,100,210,0,110,105,55,0,0,55,60,35,0,25,196,72,177,120,24,73,89,104,24,77,74,56,24,24,56,67,57,24,41
2012thru2016,050,05000US01047,"Dallas County, Alabama",01,047,430,210,220,105,20,55,30,45,0,20,25,70,0,35,35,0,0,0,0,131,91,105,76,35,59,40,51,24,34,40,57,24,42,43,24,24,24,24
2012thru2016,050,05000US01049,"DeKalb County, Alabama",01,049,1240,105,1130,575,10,195,375,555,45,235,275,0,0,0,0,0,0,0,0,279,76,260,186,14,107,156,210,54,120,166,27,27,27,27,27,27,27,27
2012thru2016,050,05000US01051,"Elmore County, Alabama",01,051,430,10,420,55,0,0,55,145,0,45,100,120,0,80,40,105,0,0,105,193,15,193,69,27,27,69,118,27,69,101,104,27,82,63,78,27,27,78
2012thru2016,050,05000US01053,"Escambia County, Alabama",01,053,305,15,290,155,0,70,85,135,15,95,25,0,0,0,0,0,0,0,0,137,25,136,104,24,59,88,93,27,83,38,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01055,"Etowah County, Alabama",01,055,820,130,685,105,15,20,70,390,100,115,175,160,50,100,15,30,0,0,30,258,93,230,78,20,38,71,159,63,91,110,99,54,82,23,44,27,27,44
2012thru2016,050,05000US01057,"Fayette County, Alabama",01,057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01059,"Franklin County, Alabama",01,059,405,85,320,120,0,0,120,200,50,90,60,0,0,0,0,0,0,0,0,158,79,149,109,24,24,109,111,42,77,89,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01061,"Geneva County, Alabama",01,061,155,45,110,45,0,15,35,65,0,30,35,0,0,0,0,0,0,0,0,77,55,59,42,21,24,34,48,21,33,35,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01063,"Greene County, Alabama",01,063,80,0,80,60,0,4,55,4,0,4,0,10,0,0,10,0,0,0,0,67,16,67,59,16,14,59,15,16,15,16,21,16,16,21,16,16,16,16
