source,sumlevel,geoid,name,st,cnty,T17A_est1,T17A_est2,T17A_est3,T17A_est4,T17A_est5,T17A_est6,T17A_est7,T17A_est8,T17A_est9,T17A_est10,T17A_est11,T17A_est12,T17A_est13,T17A_est14,T17A_est15,T17A_est16,T17A_est17,T17A_est18,T17A_est19,T17A_est20,T17A_est21,T17A_moe1,T17A_moe2,T17A_moe3,T17A_moe4,T17A_moe5,T17A_moe6,T17A_moe7,T17A_moe8,T17A_moe9,T17A_moe10,T17A_moe11,T17A_moe12,T17A_moe13,T17A_moe14,T17A_moe15,T17A_moe16,T17A_moe17,T17A_moe18,T17A_moe19,T17A_moe20,T17A_moe21
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,80,55,15,0,10,30,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,58,47,17,27,23,37,27,27,27,27,27,27,27,27,27,27,36,36,27,27,27
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,2830,1790,80,520,280,910,155,0,120,0,35,590,40,25,0,525,295,240,55,0,0,529,422,60,196,179,256,115,27,111,27,41,210,66,40,27,199,141,129,77,27,27
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,230,140,4,45,35,55,0,0,0,0,0,0,0,0,0,0,95,85,10,0,0,113,76,9,40,44,39,21,21,21,21,21,21,21,21,21,21,81,76,13,21,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,0,21,21,21,21,21,21,21,21,21,21,0,0,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,225,225,65,95,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,135,51,92,27,73,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,110,100,50,20,10,20,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,53,50,42,32,17,18,21,21,21,21,21,21,21,21,21,21,14,14,21,21,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,855,670,500,90,30,50,20,20,0,0,0,20,0,20,0,0,150,150,0,0,0,229,201,195,64,50,53,32,32,27,27,27,32,27,32,27,27,114,114,27,27,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,320,275,230,0,30,20,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,117,108,93,24,45,32,51,51,24,24,24,24,24,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,310,195,50,15,0,130,0,0,0,0,0,0,0,0,0,0,115,70,45,0,0,151,121,80,24,21,88,21,21,21,21,21,21,21,21,21,21,104,69,74,21,21
2012thru2016,050,05000US01021,"Chilton County, Alabama",01,021,300,230,170,4,0,50,0,0,0,0,0,0,0,0,0,0,75,75,0,0,0,141,119,110,17,24,44,24,24,24,24,24,24,24,24,24,24,66,66,24,24,24
2012thru2016,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01025,"Clarke County, Alabama",01,025,80,80,25,50,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,41,47,21,13,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2012thru2016,050,05000US01027,"Clay County, Alabama",01,027,80,75,20,50,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,65,63,26,55,18,15,18,18,18,18,18,18,18,18,18,18,13,18,18,13,18
2012thru2016,050,05000US01029,"Cleburne County, Alabama",01,029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,0,18,18
2012thru2016,050,05000US01031,"Coffee County, Alabama",01,031,370,360,80,175,95,10,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,157,156,46,108,105,13,27,27,27,27,27,27,27,27,27,27,13,13,27,27,27
2012thru2016,050,05000US01033,"Colbert County, Alabama",01,033,355,320,195,70,30,25,25,0,25,0,0,0,0,0,0,0,15,15,0,0,0,153,152,120,68,50,43,40,27,40,27,27,27,27,27,27,27,23,23,27,27,27
2012thru2016,050,05000US01035,"Conecuh County, Alabama",01,035,70,45,15,30,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,57,41,22,32,18,18,18,18,18,18,18,18,18,18,18,18,36,36,18,18,18
2012thru2016,050,05000US01037,"Coosa County, Alabama",01,037,70,70,30,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,37,18,18,46,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01039,"Covington County, Alabama",01,039,330,305,160,35,0,110,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,106,104,76,41,24,72,24,24,24,24,24,24,24,24,24,24,26,24,24,26,24
2012thru2016,050,05000US01041,"Crenshaw County, Alabama",01,041,50,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,34,25,25,18,18,18,18,18,18,18,18,18,18,18,18,18,25,25,18,18,18
2012thru2016,050,05000US01043,"Cullman County, Alabama",01,043,380,290,140,55,30,70,0,0,0,0,0,20,0,0,0,20,70,20,50,0,0,173,146,113,48,41,63,27,27,27,27,27,37,27,27,27,37,62,24,57,27,27
2012thru2016,050,05000US01045,"Dale County, Alabama",01,045,320,315,135,40,30,110,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,153,151,85,50,33,101,24,24,24,24,24,24,24,24,24,24,14,14,24,24,24
2012thru2016,050,05000US01047,"Dallas County, Alabama",01,047,145,135,100,4,0,25,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,84,76,72,9,24,32,24,24,24,24,24,24,24,24,24,24,19,19,24,24,24
2012thru2016,050,05000US01049,"DeKalb County, Alabama",01,049,465,380,120,105,65,90,0,0,0,0,0,50,0,0,50,0,35,35,0,0,0,163,142,76,79,54,81,27,27,27,27,27,80,27,27,80,27,43,43,27,27,27
2012thru2016,050,05000US01051,"Elmore County, Alabama",01,051,725,715,195,280,145,100,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,242,240,97,179,120,93,27,27,27,27,27,27,27,27,27,27,16,16,27,27,27
2012thru2016,050,05000US01053,"Escambia County, Alabama",01,053,110,110,25,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,101,39,95,13,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2012thru2016,050,05000US01055,"Etowah County, Alabama",01,055,400,360,235,85,20,15,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,151,120,100,73,24,22,27,27,27,27,27,27,27,27,27,27,69,69,27,27,27
2012thru2016,050,05000US01057,"Fayette County, Alabama",01,057,75,70,60,0,10,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,65,65,64,18,16,18,18,18,18,18,18,18,18,18,18,18,10,10,18,18,18
2012thru2016,050,05000US01059,"Franklin County, Alabama",01,059,180,140,85,35,10,10,0,0,0,0,0,45,0,0,0,45,0,0,0,0,0,116,93,74,54,15,15,24,24,24,24,24,69,24,24,24,69,24,24,24,24,24
2012thru2016,050,05000US01061,"Geneva County, Alabama",01,061,270,155,70,45,0,40,0,0,0,0,0,0,0,0,0,0,115,115,0,0,0,141,87,47,35,21,62,21,21,21,21,21,21,21,21,21,21,99,99,21,21,21
