source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,255,165,0,35,25,105,4,0,4,0,0,70,0,0,70,0,10,10,0,0,0,169,121,27,37,42,104,12,27,12,27,27,108,27,27,108,27,23,23,27,27,27
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,11905,2170,305,620,600,645,725,180,270,125,150,8205,250,1980,1950,4025,800,255,500,45,0,889,410,146,246,227,201,258,159,174,106,101,762,137,422,361,576,213,111,193,31,27
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,380,80,10,45,25,0,90,35,30,25,0,40,15,25,0,0,170,110,60,0,0,136,63,13,47,38,21,64,43,37,30,21,38,25,30,21,21,85,66,54,21,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,21,0,0,21,21,21,0,21,0,21,21,21,21,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,415,230,135,90,4,0,50,35,10,0,10,0,0,0,0,0,135,115,20,0,0,129,107,95,70,7,27,49,46,13,27,16,27,27,27,27,27,74,73,19,27,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,25,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,15,15,0,0,0,25,18,18,18,18,18,19,18,19,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,220,55,0,55,0,0,100,25,50,25,0,35,0,35,0,0,30,15,15,0,0,86,38,21,38,21,21,63,24,49,29,21,38,21,38,21,21,27,17,29,21,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,660,205,65,110,30,4,145,45,100,4,0,180,0,105,75,0,125,0,125,0,0,214,102,61,68,44,10,84,47,67,3,27,104,27,76,65,27,103,27,103,27,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,420,150,35,45,75,0,30,20,0,10,0,175,0,0,100,80,60,30,30,0,0,156,102,40,52,75,24,36,33,24,23,24,113,24,24,101,89,66,45,48,24,24
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,360,245,115,70,25,30,15,15,0,0,0,50,50,0,0,0,50,25,25,0,0,164,135,98,99,28,45,22,22,21,21,21,54,54,21,21,21,60,42,41,21,21
2012thru2016,050,05000US01021,"Chilton County, Alabama",01,021,415,70,0,30,35,0,25,4,10,4,0,0,0,0,0,0,325,120,160,45,0,199,77,24,48,56,24,22,14,15,10,24,24,24,24,24,24,179,96,121,72,24
2012thru2016,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,18,0,18,18,18,18,18,18,18
2012thru2016,050,05000US01025,"Clarke County, Alabama",01,025,120,35,35,0,0,0,10,4,0,4,0,25,0,25,0,0,45,25,20,0,0,77,37,37,21,21,21,13,4,21,10,21,43,21,43,21,21,53,38,37,21,21
2012thru2016,050,05000US01027,"Clay County, Alabama",01,027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,0,18,0,18,18,0,0,18,18,18
2012thru2016,050,05000US01029,"Cleburne County, Alabama",01,029,45,20,0,20,0,0,10,0,10,0,0,0,0,0,0,0,10,0,10,0,0,40,34,18,34,18,18,17,18,17,18,18,18,18,18,18,18,17,18,17,18,18
2012thru2016,050,05000US01031,"Coffee County, Alabama",01,031,815,475,45,160,200,70,200,50,150,0,0,80,15,55,0,10,60,35,25,0,0,216,188,44,113,128,85,132,50,114,27,27,68,30,66,27,13,51,47,24,27,27
2012thru2016,050,05000US01033,"Colbert County, Alabama",01,033,615,275,90,130,15,40,150,75,60,20,0,125,50,60,0,20,65,65,0,0,0,180,123,65,96,28,59,77,61,63,33,27,88,50,61,27,31,62,62,27,27,27
2012thru2016,050,05000US01035,"Conecuh County, Alabama",01,035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01037,"Coosa County, Alabama",01,037,105,25,10,15,0,0,0,0,0,0,0,20,0,20,0,0,55,55,0,0,0,70,28,11,28,18,18,18,18,18,18,18,28,18,28,18,18,58,58,18,18,18
2012thru2016,050,05000US01039,"Covington County, Alabama",01,039,420,155,30,125,0,0,70,50,20,0,0,75,20,35,20,0,120,50,75,0,0,106,73,32,65,24,24,48,36,38,24,24,59,35,41,32,24,48,39,39,24,24
2012thru2016,050,05000US01041,"Crenshaw County, Alabama",01,041,85,60,30,25,0,0,15,10,4,0,0,0,0,0,0,0,10,4,4,0,0,42,39,29,27,18,18,21,20,8,18,18,18,18,18,18,18,13,11,5,18,18
2012thru2016,050,05000US01043,"Cullman County, Alabama",01,043,685,145,0,85,4,55,110,35,55,20,0,165,25,95,20,25,265,70,165,30,0,256,122,27,67,27,86,81,46,62,29,27,114,41,105,37,38,166,47,154,43,27
2012thru2016,050,05000US01045,"Dale County, Alabama",01,045,670,240,25,130,55,25,95,95,4,0,0,190,125,15,0,55,145,45,100,0,0,196,114,38,90,56,41,68,69,4,24,24,106,77,12,24,78,94,56,72,24,24
2012thru2016,050,05000US01047,"Dallas County, Alabama",01,047,430,135,45,20,70,0,190,150,45,0,0,30,0,30,0,0,70,70,0,0,0,131,76,47,34,57,24,101,97,61,24,24,47,24,47,24,24,55,55,24,24,24
2012thru2016,050,05000US01049,"DeKalb County, Alabama",01,049,1240,380,185,190,0,0,20,20,0,0,0,165,35,130,0,0,675,435,240,0,0,279,155,112,107,27,27,20,20,27,27,27,111,54,98,27,27,248,186,161,27,27
2012thru2016,050,05000US01051,"Elmore County, Alabama",01,051,430,45,45,0,4,0,85,0,45,40,0,220,0,40,75,105,80,20,60,0,0,193,68,67,27,2,27,97,27,69,68,27,132,27,67,76,78,75,22,71,27,27
2012thru2016,050,05000US01053,"Escambia County, Alabama",01,053,305,55,25,35,0,0,150,115,35,0,0,50,0,50,0,0,50,30,15,0,0,137,47,22,41,24,24,106,91,55,24,24,61,24,61,24,24,46,39,27,24,24
2012thru2016,050,05000US01055,"Etowah County, Alabama",01,055,820,240,0,125,85,30,170,10,125,30,0,355,95,145,115,0,55,0,55,0,0,258,129,27,83,81,44,115,19,104,49,27,143,79,97,85,27,56,27,56,27,27
2012thru2016,050,05000US01057,"Fayette County, Alabama",01,057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01059,"Franklin County, Alabama",01,059,405,55,55,0,0,0,30,30,0,0,0,195,20,175,0,0,125,100,25,0,0,158,65,65,24,24,24,47,47,24,24,24,103,28,102,24,24,87,77,41,24,24
2012thru2016,050,05000US01061,"Geneva County, Alabama",01,061,155,50,45,4,0,0,0,0,0,0,0,30,15,15,0,0,75,35,40,0,0,77,42,39,15,21,21,21,21,21,21,21,33,24,23,21,21,78,53,41,21,21
2012thru2016,050,05000US01063,"Greene County, Alabama",01,063,80,15,4,0,10,0,4,4,0,0,0,40,35,4,0,0,20,20,0,0,0,67,23,7,16,21,16,14,14,16,16,16,53,52,15,16,16,32,32,16,16,16
2012thru2016,050,05000US01065,"Hale County, Alabama",01,065,30,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,30,3,3,18,18,18,18,18,18,18,18,18,18,18,18,18,30,30,18,18,18
2012thru2016,050,05000US01067,"Henry County, Alabama",01,067,235,70,15,50,0,4,105,65,0,40,0,55,40,0,0,15,4,4,0,0,0,115,60,21,57,18,18,85,59,18,60,18,32,23,18,18,22,10,10,18,18,18
