source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2012thru2016,050,05000US01001,"Autauga County, Alabama",01,001,20800,15220,12630,10480,1190,940,20,2035,1225,495,270,45,80,60,20,0,0,60,20,40,0,0,0,0,0,0,0,250,235,15,0,0,170,135,35,0,0,5580,3680,1900,815,930,30,1635,770,440,380,45,75,15,0,60,0,20,20,0,0,0,4,4,0,0,0,95,80,4,15,0,70,15,10,45,0,392,546,493,516,218,274,23,251,213,203,91,50,48,46,25,27,27,52,22,56,27,27,27,27,27,27,27,92,91,24,27,27,71,61,34,27,27,574,515,348,295,298,43,245,208,184,158,54,76,26,27,77,27,34,34,27,27,27,17,17,27,27,27,80,65,3,32,27,69,23,15,66,27
2012thru2016,050,05000US01003,"Baldwin County, Alabama",01,003,75150,53905,49030,39120,5095,4240,575,2670,1685,565,395,25,225,110,115,4,0,480,440,10,25,0,0,0,0,0,0,900,720,130,40,10,605,380,55,150,15,21245,16600,9810,3265,3185,340,2895,1375,735,720,65,135,55,55,25,0,45,25,4,15,0,0,0,0,0,0,1185,785,160,240,0,380,100,220,60,0,1285,1142,1082,1068,457,536,201,372,320,181,168,28,121,66,109,4,27,221,225,20,35,27,27,27,27,27,27,258,255,74,39,17,212,155,52,114,31,874,935,765,432,433,146,380,316,233,255,63,86,40,83,30,27,47,31,13,21,27,27,27,27,27,27,278,284,99,127,27,251,127,197,57,27
2012thru2016,050,05000US01005,"Barbour County, Alabama",01,005,9120,5830,3730,3330,260,140,4,1905,1340,270,240,55,10,10,0,0,0,25,25,0,0,0,0,0,0,0,0,95,75,20,0,0,70,65,0,0,4,3295,930,550,130,210,40,2140,1165,305,585,85,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,175,75,25,20,55,30,20,10,4,0,288,256,218,219,75,57,4,168,149,79,69,49,14,14,21,21,21,38,38,21,21,21,21,21,21,21,21,50,41,28,21,21,43,43,21,21,5,244,128,112,47,82,37,195,171,119,122,53,18,18,21,21,21,21,21,21,21,21,21,21,21,21,21,85,48,38,21,54,23,19,13,3,21
2012thru2016,050,05000US01007,"Bibb County, Alabama",01,007,7050,5120,4480,3650,385,380,65,555,360,155,35,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,30,30,0,0,0,40,40,0,0,0,1930,1350,980,150,165,55,520,310,85,100,25,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,50,50,4,0,0,4,4,0,0,0,351,302,281,246,143,162,60,137,111,101,39,21,21,21,21,21,21,20,20,21,21,21,21,21,21,21,21,25,25,21,21,21,37,37,21,21,21,297,249,251,91,102,55,141,104,74,71,43,21,21,21,21,21,7,7,21,21,21,21,21,21,21,21,31,31,4,21,21,3,3,21,21,21
2012thru2016,050,05000US01009,"Blount County, Alabama",01,009,20620,16255,15305,12640,1380,930,355,90,65,25,0,0,40,15,25,0,0,35,30,10,0,0,0,0,0,0,0,630,460,95,40,35,150,120,20,10,0,4365,3725,2500,550,525,155,160,140,4,15,0,4,4,0,0,0,4,0,4,0,0,0,0,0,0,0,375,200,135,20,15,100,35,30,30,0,403,506,512,497,240,251,137,63,42,46,27,27,40,24,35,27,27,27,24,15,27,27,27,27,27,27,27,141,112,82,47,22,63,62,30,15,27,410,412,348,157,148,89,84,87,9,26,27,5,5,27,27,27,20,27,20,27,27,27,27,27,27,27,121,90,100,23,22,77,40,50,29,27
2012thru2016,050,05000US01011,"Bullock County, Alabama",01,011,3555,2600,740,570,105,50,15,1825,1310,230,220,70,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,955,85,85,0,0,0,870,470,120,260,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,222,117,108,101,53,24,202,195,111,86,82,18,18,18,18,18,25,25,18,18,18,18,18,18,18,18,18,18,18,18,18,32,32,18,18,18,193,70,70,18,18,18,186,146,67,100,41,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2012thru2016,050,05000US01013,"Butler County, Alabama",01,013,7675,5395,3365,2810,250,250,50,1905,1250,385,235,35,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,60,45,0,10,0,60,40,4,15,0,2280,905,575,165,125,40,1230,640,335,185,70,70,50,20,0,0,4,4,0,0,0,0,0,0,0,0,30,0,0,30,0,45,20,4,15,0,252,243,164,178,56,73,27,148,146,103,86,27,21,21,21,21,21,9,6,21,7,21,21,21,21,21,21,37,32,21,23,21,36,23,7,28,21,218,130,104,74,55,23,157,123,112,63,51,25,24,33,21,21,2,2,21,21,21,21,21,21,21,21,52,21,21,52,21,32,19,13,27,21
2012thru2016,050,05000US01015,"Calhoun County, Alabama",01,015,45070,31105,25500,21350,2635,1350,165,4470,3090,675,670,40,135,115,15,0,0,115,90,4,20,0,4,0,0,0,4,590,515,30,20,25,295,205,60,20,4,13965,8095,4945,1335,1595,220,4900,2435,975,1345,150,115,75,0,25,20,40,4,0,40,0,0,0,0,0,0,545,375,65,100,0,270,120,80,70,0,581,734,653,654,350,204,73,284,290,182,162,31,61,63,26,27,27,48,43,1,26,27,11,27,27,27,11,146,140,36,23,29,61,63,39,25,8,726,573,490,209,270,118,406,315,222,247,69,84,77,27,29,31,44,3,27,42,27,27,27,27,27,27,120,115,67,74,27,101,63,69,55,27
2012thru2016,050,05000US01017,"Chambers County, Alabama",01,017,13850,9370,6215,5090,645,340,140,3035,2050,470,490,30,15,15,0,0,0,15,15,0,0,0,0,0,0,0,0,35,0,15,20,0,50,50,0,0,0,4480,1795,1185,320,230,60,2485,1215,605,575,95,115,90,20,4,0,35,20,0,15,0,0,0,0,0,0,25,25,0,0,0,25,20,4,0,0,360,306,261,255,135,116,81,252,215,166,142,23,12,12,24,24,24,29,29,24,24,24,24,24,24,24,24,37,24,32,31,24,40,40,24,24,24,448,279,230,120,99,37,313,199,174,159,74,36,50,26,9,24,36,30,24,25,24,24,24,24,24,24,28,28,24,24,24,32,32,9,24,24
2012thru2016,050,05000US01019,"Cherokee County, Alabama",01,019,11000,8710,8110,6405,815,780,110,385,225,70,90,0,25,4,20,0,0,60,60,0,0,4,0,0,0,0,0,75,35,15,25,0,50,30,20,0,0,2290,2115,1355,465,260,35,50,35,4,4,10,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,90,35,4,50,0,20,10,4,0,0,397,397,390,379,207,185,60,76,95,52,66,21,31,18,31,21,21,61,60,21,21,5,21,21,21,21,21,49,40,27,43,21,51,39,30,21,21,324,315,259,177,87,43,36,29,5,2,15,21,21,21,21,21,32,32,21,21,21,21,21,21,21,21,54,46,2,64,21,25,21,14,21,21
