source,sumlevel,geoid,name,st,cnty,T14A_est1,T14A_est2,T14A_est3,T14A_est4,T14A_est5,T14A_est6,T14A_est7,T14A_est8,T14A_est9,T14A_est10,T14A_est11,T14A_est12,T14A_est13,T14A_est14,T14A_est15,T14A_est16,T14A_est17,T14A_est18,T14A_est19,T14A_moe1,T14A_moe2,T14A_moe3,T14A_moe4,T14A_moe5,T14A_moe6,T14A_moe7,T14A_moe8,T14A_moe9,T14A_moe10,T14A_moe11,T14A_moe12,T14A_moe13,T14A_moe14,T14A_moe15,T14A_moe16,T14A_moe17,T14A_moe18,T14A_moe19
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,110,35,75,15,0,4,10,10,0,0,10,10,0,0,10,40,0,0,40,77,41,64,20,27,6,15,18,27,27,18,21,27,27,21,51,27,27,51
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,2875,100,2775,225,40,10,175,625,0,175,455,340,0,10,330,1585,25,415,1150,626,113,609,134,65,14,118,281,27,127,250,223,27,19,223,392,41,177,334
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,210,35,170,45,0,4,40,20,0,0,20,50,0,0,50,55,4,0,50,102,34,98,50,21,10,51,23,21,21,23,52,21,21,52,51,16,21,49
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,210,100,110,55,0,4,50,45,0,0,45,0,0,0,0,10,0,0,10,111,84,68,39,27,10,42,62,27,27,62,27,27,27,27,17,27,27,17
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,165,130,35,4,0,0,4,4,0,0,4,0,0,0,0,25,0,0,25,82,76,30,10,21,21,10,21,21,21,21,21,21,21,21,27,21,21,27
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,815,410,405,195,0,55,140,105,0,50,60,35,0,0,35,70,0,4,65,234,172,160,118,27,40,114,71,27,53,45,39,27,27,39,61,27,27,61
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,290,190,95,40,0,4,40,25,0,25,0,10,0,0,10,20,0,0,20,118,99,70,65,24,4,65,42,24,42,24,13,24,24,13,33,24,24,33
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,305,65,240,95,0,35,60,65,0,0,65,0,0,0,0,80,15,25,40,173,53,168,95,21,53,79,84,21,21,84,21,21,21,21,72,28,39,52
2013thru2017,050,05000US01021,"Chilton County, Alabama",01,021,270,90,180,80,50,30,0,0,0,0,0,0,0,0,0,100,0,0,100,178,86,150,91,81,42,24,24,24,24,24,24,24,24,24,119,24,24,119
2013thru2017,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01025,"Clarke County, Alabama",01,025,75,0,75,25,0,25,0,40,0,4,35,0,0,0,0,10,0,0,10,56,21,56,42,21,42,21,39,21,11,38,21,21,21,21,13,21,21,13
2013thru2017,050,05000US01027,"Clay County, Alabama",01,027,80,4,75,20,0,0,20,45,0,0,45,4,0,4,0,0,0,0,0,64,11,63,28,18,18,28,56,18,18,56,15,18,15,18,18,18,18,18
2013thru2017,050,05000US01029,"Cleburne County, Alabama",01,029,15,4,15,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,19,4,22,22,18,18,22,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01031,"Coffee County, Alabama",01,031,320,170,150,60,0,4,50,60,0,20,40,25,0,25,0,4,0,0,4,139,111,74,42,27,10,38,56,27,37,45,45,27,45,27,1,27,27,1
2013thru2017,050,05000US01033,"Colbert County, Alabama",01,033,290,115,175,70,0,30,40,80,0,0,80,0,0,0,0,30,0,0,30,124,79,95,61,27,37,47,73,27,27,73,27,27,27,27,44,27,27,44
2013thru2017,050,05000US01035,"Conecuh County, Alabama",01,035,80,20,60,25,0,0,25,35,0,0,35,0,0,0,0,0,0,0,0,59,17,55,40,18,18,40,39,18,18,39,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01037,"Coosa County, Alabama",01,037,90,25,65,50,0,0,50,0,0,0,0,0,0,0,0,15,0,0,15,63,42,51,45,18,18,45,18,18,18,18,18,18,18,18,23,18,18,23
2013thru2017,050,05000US01039,"Covington County, Alabama",01,039,365,130,230,100,0,20,80,50,0,0,50,10,0,0,10,70,0,25,45,121,73,111,59,24,31,48,49,24,24,49,13,24,24,13,72,24,44,47
2013thru2017,050,05000US01041,"Crenshaw County, Alabama",01,041,45,10,35,35,0,10,25,4,0,4,0,0,0,0,0,0,0,0,0,35,12,33,31,18,15,30,4,18,4,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01043,"Cullman County, Alabama",01,043,350,60,290,95,0,4,95,135,0,0,135,0,0,0,0,55,20,0,35,154,51,140,97,27,4,96,101,27,27,101,27,27,27,27,52,34,27,41
2013thru2017,050,05000US01045,"Dale County, Alabama",01,045,310,70,240,65,0,4,60,40,0,0,40,30,0,0,30,105,0,0,105,144,63,126,57,24,8,55,50,24,24,50,34,24,24,34,97,24,24,97
2013thru2017,050,05000US01047,"Dallas County, Alabama",01,047,190,140,50,15,0,0,15,15,0,0,15,20,0,0,20,0,0,0,0,101,83,50,23,24,24,23,18,24,24,18,33,24,24,33,24,24,24,24
2013thru2017,050,05000US01049,"DeKalb County, Alabama",01,049,565,185,385,115,0,35,85,40,0,0,40,125,50,30,45,100,0,25,75,210,101,177,75,27,47,64,69,27,27,69,98,79,46,41,84,27,34,76
2013thru2017,050,05000US01051,"Elmore County, Alabama",01,051,745,195,555,120,0,0,120,310,0,0,310,30,0,0,30,90,0,0,90,228,140,208,78,27,27,78,169,27,27,169,43,27,27,43,87,27,27,87
2013thru2017,050,05000US01053,"Escambia County, Alabama",01,053,135,0,135,60,0,0,60,70,0,0,70,4,0,0,4,0,0,0,0,109,24,109,69,24,24,69,92,24,24,92,13,24,24,13,24,24,24,24
2013thru2017,050,05000US01055,"Etowah County, Alabama",01,055,375,175,200,105,0,40,65,65,0,0,65,10,0,0,10,25,0,0,25,132,97,98,74,27,41,58,63,27,27,63,14,27,27,14,26,27,27,26
2013thru2017,050,05000US01057,"Fayette County, Alabama",01,057,90,0,90,90,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,75,18,75,75,18,18,75,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01059,"Franklin County, Alabama",01,059,225,95,130,75,0,0,75,0,0,0,0,10,0,0,10,50,0,0,50,128,91,91,62,24,24,62,24,24,24,24,13,24,24,13,64,24,24,64
2013thru2017,050,05000US01061,"Geneva County, Alabama",01,061,215,140,75,25,0,4,20,10,0,0,10,0,0,0,0,40,0,40,0,139,129,65,22,21,1,22,14,21,21,14,21,21,21,21,64,21,64,21
2013thru2017,050,05000US01063,"Greene County, Alabama",01,063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,16,16,16,16,16,16,16,16,16,16,16,16
2013thru2017,050,05000US01065,"Hale County, Alabama",01,065,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,36,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01067,"Henry County, Alabama",01,067,165,130,35,25,0,4,20,10,0,0,10,0,0,0,0,0,0,0,0,72,64,36,29,18,3,29,24,18,18,24,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01069,"Houston County, Alabama",01,069,675,165,510,210,0,25,185,120,0,0,120,70,0,20,50,110,0,0,110,116,52,95,56,27,21,58,44,27,27,44,32,27,18,27,70,27,27,70
2013thru2017,050,05000US01071,"Jackson County, Alabama",01,071,335,40,295,215,55,30,130,70,0,10,55,0,0,0,0,4,0,4,0,144,33,141,131,62,35,115,56,27,27,48,27,27,27,27,20,27,20,27
2013thru2017,050,05000US01073,"Jefferson County, Alabama",01,073,3800,1455,2345,890,30,270,590,760,0,140,615,350,0,40,310,345,0,0,345,583,296,497,221,34,139,170,326,27,113,272,153,27,56,148,184,27,27,184
2013thru2017,050,05000US01075,"Lamar County, Alabama",01,075,35,20,15,0,0,0,0,4,0,4,0,0,0,0,0,15,0,0,15,28,23,25,18,18,18,18,5,18,5,18,18,18,18,18,23,18,18,23
2013thru2017,050,05000US01077,"Lauderdale County, Alabama",01,077,480,275,210,65,0,0,65,40,0,10,35,25,0,0,25,80,4,0,75,154,116,115,63,27,27,63,41,27,13,37,27,27,27,27,78,11,27,78
2013thru2017,050,05000US01079,"Lawrence County, Alabama",01,079,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
2013thru2017,050,05000US01081,"Lee County, Alabama",01,081,810,220,590,270,0,60,205,120,0,0,120,115,0,0,115,85,0,15,75,245,156,199,154,27,70,137,98,27,27,98,102,27,27,102,76,27,22,71
2013thru2017,050,05000US01083,"Limestone County, Alabama",01,083,620,280,340,110,0,60,45,150,0,0,150,25,0,25,0,55,0,0,55,251,144,163,75,27,56,48,125,27,27,125,42,27,42,27,65,27,27,65
2013thru2017,050,05000US01085,"Lowndes County, Alabama",01,085,30,25,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,24,23,9,9,18,18,9,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01087,"Macon County, Alabama",01,087,110,80,30,25,0,4,20,4,0,0,4,0,0,0,0,0,0,0,0,59,52,30,31,18,10,29,5,18,18,5,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01089,"Madison County, Alabama",01,089,1915,565,1350,595,10,105,480,265,0,4,260,255,0,4,250,235,0,0,235,390,232,329,180,16,104,180,164,27,9,163,163,27,10,160,130,27,27,130
2013thru2017,050,05000US01091,"Marengo County, Alabama",01,091,85,0,85,25,0,4,20,60,0,0,60,4,0,0,4,0,0,0,0,73,18,73,24,18,9,24,65,18,18,65,10,18,18,10,18,18,18,18
2013thru2017,050,05000US01093,"Marion County, Alabama",01,093,170,80,90,70,0,10,60,4,4,0,0,0,0,0,0,15,0,15,0,113,74,83,80,24,15,76,4,4,24,24,24,24,24,24,23,24,23,24
2013thru2017,050,05000US01095,"Marshall County, Alabama",01,095,730,130,600,120,0,15,105,135,0,4,130,115,0,0,115,230,0,25,205,229,85,214,93,27,15,92,103,27,10,103,94,27,27,94,134,27,34,132
2013thru2017,050,05000US01097,"Mobile County, Alabama",01,097,2650,1160,1490,500,0,120,380,625,0,125,495,85,0,0,85,285,0,10,275,436,316,327,188,27,79,174,227,27,92,228,62,27,27,62,126,27,13,125
2013thru2017,050,05000US01099,"Monroe County, Alabama",01,099,20,4,15,4,0,0,4,0,0,0,0,4,0,0,4,4,0,4,4,17,6,14,4,21,21,4,21,21,21,21,2,21,21,2,15,21,4,2
2013thru2017,050,05000US01101,"Montgomery County, Alabama",01,101,1550,820,730,335,15,85,235,130,0,0,130,125,0,0,125,135,0,0,135,305,222,207,143,30,62,128,89,27,27,89,75,27,27,75,110,27,27,110
2013thru2017,050,05000US01103,"Morgan County, Alabama",01,103,775,300,470,325,0,20,305,65,0,0,65,30,0,30,0,55,0,0,55,250,139,196,157,27,34,162,66,27,27,66,44,27,44,27,58,27,27,58
2013thru2017,050,05000US01105,"Perry County, Alabama",01,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,16,16,16,16,16,16,16,16,16,16,16
2013thru2017,050,05000US01107,"Pickens County, Alabama",01,107,85,30,50,25,0,10,15,15,0,0,15,10,0,0,10,4,0,4,0,49,34,39,30,21,14,27,17,21,21,17,15,21,21,15,10,21,10,21
2013thru2017,050,05000US01109,"Pike County, Alabama",01,109,190,45,145,30,0,10,15,65,0,0,65,0,0,0,0,50,0,0,50,117,32,111,25,24,14,22,82,24,24,82,24,24,24,24,75,24,24,75
2013thru2017,050,05000US01111,"Randolph County, Alabama",01,111,135,70,65,4,0,0,4,10,0,0,10,0,0,0,0,50,0,0,50,84,58,63,7,21,21,7,23,21,21,23,21,21,21,21,54,21,21,54
2013thru2017,050,05000US01113,"Russell County, Alabama",01,113,595,260,330,150,0,35,115,115,0,0,115,25,0,0,25,45,30,0,10,223,143,171,110,27,58,92,117,27,27,117,35,27,27,35,53,49,27,22
2013thru2017,050,05000US01115,"St. Clair County, Alabama",01,115,315,70,240,105,0,60,45,95,0,0,95,0,0,0,0,45,0,0,45,184,81,163,122,27,101,66,86,27,27,86,27,27,27,27,65,27,27,65
2013thru2017,050,05000US01117,"Shelby County, Alabama",01,117,1095,295,800,145,0,20,125,170,0,0,170,160,0,65,90,330,0,40,295,269,161,200,92,27,27,87,100,27,27,100,100,27,77,71,173,27,62,146
2013thru2017,050,05000US01119,"Sumter County, Alabama",01,119,20,4,20,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,29,4,27,27,18,18,27,18,18,18,18,18,18,18,18,18,18,18,18
2013thru2017,050,05000US01121,"Talladega County, Alabama",01,121,845,370,480,145,0,70,80,100,0,30,70,70,0,0,70,160,40,80,40,219,149,196,114,27,70,90,90,27,48,76,85,27,27,85,114,66,88,32
2013thru2017,050,05000US01123,"Tallapoosa County, Alabama",01,123,370,95,275,45,0,45,4,50,0,0,50,25,0,0,25,150,0,0,150,151,88,128,55,24,53,24,78,24,24,78,44,24,24,44,88,24,24,88
2013thru2017,050,05000US01125,"Tuscaloosa County, Alabama",01,125,320,135,185,25,10,0,15,120,0,0,120,10,0,0,10,30,0,0,30,144,94,109,25,13,27,19,95,27,27,95,14,27,27,14,46,27,27,46
2013thru2017,050,05000US01127,"Walker County, Alabama",01,127,395,275,120,60,0,0,60,4,0,4,0,0,0,0,0,55,0,35,15,166,145,96,72,27,27,72,10,27,10,27,27,27,27,27,64,27,58,30
2013thru2017,050,05000US01129,"Washington County, Alabama",01,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18,18,18,18,18,18,0,18,18,0
2013thru2017,050,05000US01131,"Wilcox County, Alabama",01,131,35,0,35,15,0,4,10,10,0,4,10,10,0,10,4,0,0,0,0,25,18,25,16,18,1,18,13,18,5,13,16,18,13,2,18,18,18,18
2013thru2017,050,05000US01133,"Winston County, Alabama",01,133,155,35,120,0,0,0,0,10,0,0,10,0,0,0,0,110,0,30,80,117,45,109,21,21,21,21,19,21,21,19,21,21,21,21,107,21,45,97
2013thru2017,050,05000US02013,"Aleutians East Borough, Alaska",02,013,4,0,4,4,0,0,4,4,0,0,4,0,0,0,0,4,0,4,0,8,9,8,9,9,9,9,3,9,9,3,9,9,9,9,1,9,1,9
2013thru2017,050,05000US02016,"Aleutians West Census Area, Alaska",02,016,10,4,4,4,0,4,4,0,0,0,0,0,0,0,0,4,0,0,4,6,12,9,12,12,12,12,12,12,12,12,12,12,12,12,2,12,12,2
2013thru2017,050,05000US02020,"Anchorage Municipality, Alaska",02,020,915,80,835,75,0,35,35,365,0,190,175,95,0,25,70,300,20,20,260,259,95,237,76,20,48,59,167,20,116,120,80,20,27,80,118,34,28,112
2013thru2017,050,05000US02050,"Bethel Census Area, Alaska",02,050,15,0,15,4,0,0,4,15,0,4,10,0,0,0,0,0,0,0,0,18,14,18,3,14,14,3,22,14,3,19,14,14,14,14,14,14,14,14
2013thru2017,050,05000US02060,"Bristol Bay Borough, Alaska",02,060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2013thru2017,050,05000US02068,"Denali Borough, Alaska",02,068,50,30,20,15,4,4,10,4,4,0,0,4,4,0,0,4,0,4,0,25,19,12,10,1,4,12,3,3,9,9,5,5,9,9,4,9,4,9
