source,sumlevel,geoid,name,st,cnty,T18A_est1,T18A_est2,T18A_est3,T18A_est4,T18A_est5,T18A_est6,T18A_est7,T18A_est8,T18A_est9,T18A_est10,T18A_est11,T18A_est12,T18A_est13,T18A_est14,T18A_est15,T18A_est16,T18A_est17,T18A_est18,T18A_est19,T18A_est20,T18A_est21,T18A_est22,T18A_est23,T18A_est24,T18A_est25,T18A_est26,T18A_est27,T18A_est28,T18A_est29,T18A_est30,T18A_est31,T18A_est32,T18A_est33,T18A_est34,T18A_est35,T18A_est36,T18A_est37,T18A_est38,T18A_est39,T18A_est40,T18A_est41,T18A_est42,T18A_est43,T18A_est44,T18A_est45,T18A_est46,T18A_est47,T18A_est48,T18A_est49,T18A_est50,T18A_est51,T18A_est52,T18A_est53,T18A_est54,T18A_est55,T18A_est56,T18A_est57,T18A_est58,T18A_est59,T18A_est60,T18A_est61,T18A_est62,T18A_est63,T18A_est64,T18A_est65,T18A_est66,T18A_est67,T18A_est68,T18A_est69,T18A_est70,T18A_est71,T18A_est72,T18A_est73,T18A_est74,T18A_est75,T18A_est76,T18A_est77,T18A_est78,T18A_est79,T18A_est80,T18A_est81,T18A_est82,T18A_est83,T18A_est84,T18A_est85,T18A_est86,T18A_est87,T18A_est88,T18A_est89,T18A_est90,T18A_est91,T18A_est92,T18A_est93,T18A_est94,T18A_est95,T18A_est96,T18A_est97,T18A_est98,T18A_est99,T18A_est100,T18A_est101,T18A_moe1,T18A_moe2,T18A_moe3,T18A_moe4,T18A_moe5,T18A_moe6,T18A_moe7,T18A_moe8,T18A_moe9,T18A_moe10,T18A_moe11,T18A_moe12,T18A_moe13,T18A_moe14,T18A_moe15,T18A_moe16,T18A_moe17,T18A_moe18,T18A_moe19,T18A_moe20,T18A_moe21,T18A_moe22,T18A_moe23,T18A_moe24,T18A_moe25,T18A_moe26,T18A_moe27,T18A_moe28,T18A_moe29,T18A_moe30,T18A_moe31,T18A_moe32,T18A_moe33,T18A_moe34,T18A_moe35,T18A_moe36,T18A_moe37,T18A_moe38,T18A_moe39,T18A_moe40,T18A_moe41,T18A_moe42,T18A_moe43,T18A_moe44,T18A_moe45,T18A_moe46,T18A_moe47,T18A_moe48,T18A_moe49,T18A_moe50,T18A_moe51,T18A_moe52,T18A_moe53,T18A_moe54,T18A_moe55,T18A_moe56,T18A_moe57,T18A_moe58,T18A_moe59,T18A_moe60,T18A_moe61,T18A_moe62,T18A_moe63,T18A_moe64,T18A_moe65,T18A_moe66,T18A_moe67,T18A_moe68,T18A_moe69,T18A_moe70,T18A_moe71,T18A_moe72,T18A_moe73,T18A_moe74,T18A_moe75,T18A_moe76,T18A_moe77,T18A_moe78,T18A_moe79,T18A_moe80,T18A_moe81,T18A_moe82,T18A_moe83,T18A_moe84,T18A_moe85,T18A_moe86,T18A_moe87,T18A_moe88,T18A_moe89,T18A_moe90,T18A_moe91,T18A_moe92,T18A_moe93,T18A_moe94,T18A_moe95,T18A_moe96,T18A_moe97,T18A_moe98,T18A_moe99,T18A_moe100,T18A_moe101
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,9715,8615,1825,70,330,265,290,870,2690,45,105,385,245,1910,1960,60,35,85,135,1645,2135,80,20,95,110,1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1030,100,245,195,85,405,65,4,0,0,35,25,0,0,0,0,0,0,4,0,0,4,0,0,514,472,251,43,196,119,105,153,374,35,73,189,112,296,344,56,46,99,87,300,323,82,27,65,75,305,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,249,245,60,147,115,49,142,49,8,27,27,32,39,27,27,27,27,27,27,8,27,27,8,27,27
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,33025,29905,3350,320,270,530,585,1645,10195,440,585,1520,1265,6380,4820,80,315,325,455,3640,11545,320,255,875,540,9550,140,10,0,0,0,0,10,65,0,0,10,30,25,0,0,0,0,0,0,65,0,0,0,0,65,435,60,0,0,4,25,30,75,0,10,0,0,65,25,0,0,25,0,0,275,25,0,0,40,210,2540,2075,265,435,560,385,430,340,25,40,90,40,145,60,0,20,25,0,10,65,4,25,35,0,0,1078,1000,359,144,113,132,146,295,785,224,196,320,269,617,533,63,177,145,153,508,850,168,151,279,161,703,91,18,27,27,27,27,18,53,27,27,16,47,23,27,27,27,27,27,27,62,27,27,27,27,62,136,66,27,27,13,40,52,58,27,13,27,27,57,28,27,27,28,27,27,109,28,27,27,67,84,369,351,177,203,183,144,131,147,28,51,121,45,74,44,27,25,40,27,22,50,10,30,48,27,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,2485,1905,425,40,35,75,30,245,695,20,15,100,70,495,240,4,0,25,25,190,545,4,25,50,35,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,460,25,70,50,85,230,75,10,0,10,10,50,10,0,0,0,0,10,30,0,4,0,4,20,254,215,104,31,34,37,26,90,128,19,17,52,45,111,71,8,21,20,22,62,95,11,29,34,27,88,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,122,110,34,50,29,56,81,46,15,21,13,14,39,15,21,21,21,21,15,37,21,17,21,6,38
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,2515,2050,795,15,150,195,110,330,760,4,4,160,55,540,215,0,25,15,0,170,280,0,0,35,50,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,440,40,25,100,100,165,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,261,251,196,22,95,86,76,126,215,21,10,93,40,173,101,21,41,20,21,81,118,21,21,39,64,106,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,145,147,45,31,66,81,91,50,21,21,21,50,21,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,8305,7010,2405,215,225,530,395,1045,2795,145,70,350,415,1815,700,80,4,75,30,515,1105,25,45,85,125,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1295,1225,105,110,385,255,360,75,0,0,20,0,50,0,0,0,0,0,0,0,0,0,0,0,0,485,470,267,98,92,167,139,160,350,76,54,106,128,289,167,60,3,74,30,128,205,30,40,69,63,184,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,217,219,67,58,127,129,125,47,27,27,25,27,41,27,27,27,27,27,27,27,27,27,27,27,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,855,530,230,0,0,20,0,210,120,0,15,45,10,55,0,0,0,0,0,0,185,20,0,20,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,230,0,0,50,4,170,85,15,0,10,10,55,0,0,0,0,0,0,4,0,0,4,0,0,199,157,112,18,18,25,18,115,65,18,19,40,14,40,18,18,18,18,18,18,109,43,18,23,18,95,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,122,109,18,18,51,12,102,60,25,18,17,15,55,18,18,18,18,18,18,13,18,18,13,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,2135,1610,360,15,25,80,15,220,475,30,35,30,20,365,240,0,10,0,30,195,535,20,75,70,10,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,515,430,50,100,60,100,120,65,0,0,4,10,50,15,0,0,0,0,15,0,0,0,0,0,0,204,181,94,23,32,50,20,67,115,27,35,24,26,100,79,21,14,21,33,70,106,24,60,42,17,74,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19,21,21,21,21,21,21,21,21,21,21,21,21,19,21,21,21,19,21,21,21,21,21,21,21,126,111,39,47,36,63,53,47,21,21,14,19,42,29,21,21,21,21,29,21,21,21,21,21,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,16430,15030,4280,245,385,805,685,2165,4365,95,235,365,385,3285,2275,4,60,85,110,2010,4105,165,70,100,120,3650,15,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,1375,1150,30,60,140,230,690,175,0,10,4,15,145,30,0,0,0,0,30,20,0,0,0,0,20,643,628,364,115,146,153,173,271,438,68,119,137,127,386,339,18,54,53,63,329,431,94,49,64,51,416,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,20,27,27,27,27,27,27,27,27,27,27,27,27,20,27,27,27,27,20,27,27,27,27,27,27,230,210,27,38,68,110,178,128,27,14,12,23,128,45,27,27,27,27,45,23,27,27,27,27,23
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,4615,4015,1450,60,200,355,175,660,1120,15,120,125,85,775,400,0,10,30,15,350,1050,60,70,35,60,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,470,25,60,100,20,265,125,35,10,0,4,75,0,0,0,0,0,0,0,0,0,0,0,0,347,320,246,47,104,116,88,159,189,16,85,68,75,147,127,24,15,24,24,116,234,59,89,32,43,189,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,156,153,39,44,71,30,116,46,36,20,24,2,39,24,24,24,24,24,24,24,24,24,24,24,24
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,3580,3165,510,30,30,145,130,180,785,10,20,145,55,560,670,55,0,35,45,535,1190,25,20,35,60,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,355,20,30,70,55,175,65,0,0,4,0,60,0,0,0,0,0,0,0,0,0,0,0,0,313,295,131,28,29,90,87,81,188,13,16,97,44,151,169,56,21,31,47,152,236,28,21,33,55,230,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,141,137,25,36,61,47,95,50,21,21,8,21,50,21,21,21,21,21,21,21,21,21,21,21,21
