source,sumlevel,geoid,name,st,cnty,T18B_est1,T18B_est2,T18B_est3,T18B_est4,T18B_est5,T18B_est6,T18B_est7,T18B_est8,T18B_est9,T18B_est10,T18B_est11,T18B_est12,T18B_est13,T18B_est14,T18B_est15,T18B_est16,T18B_est17,T18B_est18,T18B_est19,T18B_est20,T18B_est21,T18B_est22,T18B_est23,T18B_est24,T18B_est25,T18B_est26,T18B_est27,T18B_est28,T18B_est29,T18B_est30,T18B_est31,T18B_est32,T18B_est33,T18B_est34,T18B_est35,T18B_est36,T18B_est37,T18B_est38,T18B_est39,T18B_est40,T18B_est41,T18B_est42,T18B_est43,T18B_est44,T18B_est45,T18B_est46,T18B_est47,T18B_est48,T18B_est49,T18B_est50,T18B_est51,T18B_est52,T18B_est53,T18B_est54,T18B_est55,T18B_est56,T18B_est57,T18B_est58,T18B_est59,T18B_est60,T18B_est61,T18B_est62,T18B_est63,T18B_est64,T18B_est65,T18B_est66,T18B_est67,T18B_est68,T18B_est69,T18B_est70,T18B_est71,T18B_est72,T18B_est73,T18B_est74,T18B_est75,T18B_est76,T18B_est77,T18B_est78,T18B_est79,T18B_est80,T18B_est81,T18B_est82,T18B_est83,T18B_est84,T18B_est85,T18B_est86,T18B_est87,T18B_est88,T18B_est89,T18B_est90,T18B_est91,T18B_est92,T18B_est93,T18B_est94,T18B_est95,T18B_est96,T18B_est97,T18B_est98,T18B_est99,T18B_est100,T18B_est101,T18B_moe1,T18B_moe2,T18B_moe3,T18B_moe4,T18B_moe5,T18B_moe6,T18B_moe7,T18B_moe8,T18B_moe9,T18B_moe10,T18B_moe11,T18B_moe12,T18B_moe13,T18B_moe14,T18B_moe15,T18B_moe16,T18B_moe17,T18B_moe18,T18B_moe19,T18B_moe20,T18B_moe21,T18B_moe22,T18B_moe23,T18B_moe24,T18B_moe25,T18B_moe26,T18B_moe27,T18B_moe28,T18B_moe29,T18B_moe30,T18B_moe31,T18B_moe32,T18B_moe33,T18B_moe34,T18B_moe35,T18B_moe36,T18B_moe37,T18B_moe38,T18B_moe39,T18B_moe40,T18B_moe41,T18B_moe42,T18B_moe43,T18B_moe44,T18B_moe45,T18B_moe46,T18B_moe47,T18B_moe48,T18B_moe49,T18B_moe50,T18B_moe51,T18B_moe52,T18B_moe53,T18B_moe54,T18B_moe55,T18B_moe56,T18B_moe57,T18B_moe58,T18B_moe59,T18B_moe60,T18B_moe61,T18B_moe62,T18B_moe63,T18B_moe64,T18B_moe65,T18B_moe66,T18B_moe67,T18B_moe68,T18B_moe69,T18B_moe70,T18B_moe71,T18B_moe72,T18B_moe73,T18B_moe74,T18B_moe75,T18B_moe76,T18B_moe77,T18B_moe78,T18B_moe79,T18B_moe80,T18B_moe81,T18B_moe82,T18B_moe83,T18B_moe84,T18B_moe85,T18B_moe86,T18B_moe87,T18B_moe88,T18B_moe89,T18B_moe90,T18B_moe91,T18B_moe92,T18B_moe93,T18B_moe94,T18B_moe95,T18B_moe96,T18B_moe97,T18B_moe98,T18B_moe99,T18B_moe100,T18B_moe101
2013thru2017,050,05000US01001,"Autauga County, Alabama",01,001,5715,4020,1595,240,265,395,245,455,955,30,90,145,45,640,760,35,30,150,55,490,710,35,50,75,50,500,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,1515,370,250,435,155,305,20,0,0,0,0,20,20,0,10,0,15,0,135,20,20,15,15,60,399,357,252,107,108,139,108,137,191,40,47,80,36,165,216,32,38,83,53,165,148,34,44,57,40,128,11,27,27,27,27,27,27,11,27,11,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,326,304,161,94,145,107,141,28,27,27,27,27,28,26,27,13,27,23,27,81,35,27,24,28,72
2013thru2017,050,05000US01003,"Baldwin County, Alabama",01,003,22445,18650,3665,570,820,915,320,1040,5400,695,755,1050,475,2425,2600,270,290,425,235,1375,6980,460,475,1135,485,4425,235,65,0,0,35,30,0,35,0,10,0,0,25,20,0,0,20,0,0,120,0,30,25,0,60,480,85,0,45,25,0,20,4,0,0,0,0,4,70,0,10,25,0,35,320,30,10,70,35,180,3080,2630,440,425,740,410,620,360,65,100,95,15,85,0,0,0,0,0,0,90,0,30,0,60,0,919,850,404,132,232,217,107,229,512,236,196,237,154,386,370,163,144,153,109,251,588,177,123,237,194,430,98,65,27,27,53,38,27,33,27,13,27,27,31,34,27,27,34,27,27,71,27,49,43,27,48,139,82,27,71,27,27,33,27,27,27,27,27,27,60,27,14,41,27,39,102,41,13,75,46,63,378,338,149,127,210,120,171,152,75,79,73,22,62,27,27,27,27,27,27,102,27,42,27,92,27
2013thru2017,050,05000US01005,"Barbour County, Alabama",01,005,3260,2320,1030,100,220,235,110,365,460,30,20,115,40,255,150,15,10,0,15,105,680,35,30,105,55,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,855,115,120,315,125,175,70,0,0,10,0,60,10,0,0,0,0,10,4,0,4,0,0,0,234,181,136,42,65,73,51,90,105,30,20,45,24,81,54,26,13,21,19,42,116,39,23,58,45,101,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,5,5,21,21,21,21,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,154,163,53,53,93,68,57,51,21,21,15,21,49,14,21,21,21,21,14,6,21,6,21,21,21
2013thru2017,050,05000US01007,"Bibb County, Alabama",01,007,2695,1930,955,120,120,325,115,280,560,30,55,150,40,285,145,20,10,25,0,90,265,55,45,30,20,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,755,175,190,145,125,125,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,275,232,183,58,49,139,67,135,155,34,43,75,37,99,98,30,19,30,21,86,112,54,46,32,25,71,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,192,192,82,81,90,84,71,5,21,21,5,21,21,21,21,21,21,21,21,4,21,21,21,4,21
2013thru2017,050,05000US01009,"Blount County, Alabama",01,009,7940,5560,2230,375,380,605,335,535,1635,85,255,440,250,600,845,75,75,135,60,495,855,105,30,175,65,485,4,4,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,2250,410,455,655,220,515,75,0,10,4,10,55,0,0,0,0,0,0,55,25,4,15,10,0,428,411,276,121,124,137,120,147,278,58,126,152,83,166,198,79,44,56,39,159,185,83,39,70,41,147,27,2,2,27,27,27,27,6,27,27,6,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,309,292,150,135,177,121,127,42,27,14,5,20,41,27,27,27,27,27,27,51,42,3,23,21,27
2013thru2017,050,05000US01011,"Bullock County, Alabama",01,011,1715,1090,690,95,65,105,65,360,105,0,0,35,0,70,65,0,0,0,10,55,230,40,0,4,25,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,605,160,110,150,25,155,15,10,0,0,0,10,0,0,0,0,0,0,10,0,10,0,0,0,229,226,198,99,61,97,55,117,70,18,18,52,18,40,44,18,18,18,14,45,86,53,18,7,37,62,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,146,150,86,57,72,30,82,19,15,18,18,18,15,18,18,18,18,18,18,14,18,14,18,18,18
2013thru2017,050,05000US01013,"Butler County, Alabama",01,013,2805,2100,945,90,235,190,110,315,490,15,70,140,60,210,205,15,4,35,15,140,465,30,35,20,30,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,635,65,155,110,25,280,50,0,15,15,0,15,0,0,0,0,0,0,15,4,10,4,0,0,209,212,157,54,83,79,48,104,104,17,35,65,39,73,77,16,4,38,14,58,73,21,26,20,18,67,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,131,128,29,69,58,21,84,32,21,24,16,21,19,21,21,21,21,21,21,18,8,13,3,21,21
2013thru2017,050,05000US01015,"Calhoun County, Alabama",01,015,14865,11840,5535,770,940,1240,680,1905,2455,155,200,495,220,1380,1640,80,50,245,240,1025,2215,85,120,395,135,1475,70,70,10,0,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2925,2620,450,345,585,280,960,220,0,30,110,0,85,10,0,0,10,0,0,80,20,10,10,20,20,635,586,394,165,160,215,151,268,328,77,87,180,87,236,250,50,41,121,102,206,304,60,61,125,98,247,46,46,17,27,32,27,34,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,29,29,27,27,27,27,14,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,363,337,153,126,149,114,212,128,27,27,81,27,81,16,27,27,16,27,27,47,36,14,12,25,28
2013thru2017,050,05000US01017,"Chambers County, Alabama",01,017,4490,3475,1560,125,250,405,180,600,815,100,90,120,155,350,425,50,50,85,45,190,680,20,80,80,75,420,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005,940,100,290,205,90,260,50,0,0,10,30,10,4,0,0,0,0,4,4,0,0,0,0,4,274,274,226,68,108,100,80,132,177,68,61,57,69,105,120,44,58,57,38,92,131,24,61,42,57,95,21,21,24,24,24,24,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,193,189,55,113,89,79,91,38,24,24,14,28,22,19,24,24,24,24,19,17,24,24,24,24,17
2013thru2017,050,05000US01019,"Cherokee County, Alabama",01,019,4855,3300,945,110,220,185,105,325,780,4,105,200,45,420,405,25,15,50,80,230,1170,85,80,140,70,800,25,0,0,0,0,0,0,10,0,0,0,0,10,15,0,0,15,0,0,0,0,0,0,0,0,20,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,1510,1200,190,260,335,135,275,170,40,0,60,20,55,45,0,20,0,0,20,95,0,0,50,35,15,409,294,155,59,105,76,69,94,198,9,97,91,32,146,121,43,26,46,55,77,209,61,53,61,47,182,31,21,21,21,21,21,21,17,21,21,21,21,17,27,21,21,27,21,21,21,21,21,21,21,21,21,13,21,21,21,21,13,21,21,21,21,21,21,21,21,21,21,21,21,23,21,21,21,21,23,312,280,91,111,161,81,99,84,40,21,58,24,52,44,21,35,21,21,31,84,21,21,68,45,19
