source,sumlevel,geoid,name,st,cnty,T15A_est1,T15A_est2,T15A_est3,T15A_est4,T15A_est5,T15A_est6,T15A_est7,T15A_est8,T15A_est9,T15A_est10,T15A_est11,T15A_est12,T15A_est13,T15A_est14,T15A_est15,T15A_est16,T15A_est17,T15A_est18,T15A_est19,T15A_est20,T15A_est21,T15A_est22,T15A_est23,T15A_est24,T15A_est25,T15A_est26,T15A_est27,T15A_est28,T15A_est29,T15A_est30,T15A_est31,T15A_est32,T15A_est33,T15A_est34,T15A_est35,T15A_est36,T15A_est37,T15A_est38,T15A_est39,T15A_est40,T15A_est41,T15A_est42,T15A_est43,T15A_est44,T15A_est45,T15A_est46,T15A_est47,T15A_est48,T15A_est49,T15A_est50,T15A_est51,T15A_est52,T15A_est53,T15A_est54,T15A_est55,T15A_est56,T15A_est57,T15A_est58,T15A_est59,T15A_est60,T15A_est61,T15A_est62,T15A_est63,T15A_est64,T15A_est65,T15A_est66,T15A_est67,T15A_est68,T15A_est69,T15A_est70,T15A_est71,T15A_est72,T15A_est73,T15A_est74,T15A_est75,T15A_est76,T15A_est77,T15A_est78,T15A_est79,T15A_est80,T15A_est81,T15A_est82,T15A_est83,T15A_est84,T15A_est85,T15A_est86,T15A_est87,T15A_moe1,T15A_moe2,T15A_moe3,T15A_moe4,T15A_moe5,T15A_moe6,T15A_moe7,T15A_moe8,T15A_moe9,T15A_moe10,T15A_moe11,T15A_moe12,T15A_moe13,T15A_moe14,T15A_moe15,T15A_moe16,T15A_moe17,T15A_moe18,T15A_moe19,T15A_moe20,T15A_moe21,T15A_moe22,T15A_moe23,T15A_moe24,T15A_moe25,T15A_moe26,T15A_moe27,T15A_moe28,T15A_moe29,T15A_moe30,T15A_moe31,T15A_moe32,T15A_moe33,T15A_moe34,T15A_moe35,T15A_moe36,T15A_moe37,T15A_moe38,T15A_moe39,T15A_moe40,T15A_moe41,T15A_moe42,T15A_moe43,T15A_moe44,T15A_moe45,T15A_moe46,T15A_moe47,T15A_moe48,T15A_moe49,T15A_moe50,T15A_moe51,T15A_moe52,T15A_moe53,T15A_moe54,T15A_moe55,T15A_moe56,T15A_moe57,T15A_moe58,T15A_moe59,T15A_moe60,T15A_moe61,T15A_moe62,T15A_moe63,T15A_moe64,T15A_moe65,T15A_moe66,T15A_moe67,T15A_moe68,T15A_moe69,T15A_moe70,T15A_moe71,T15A_moe72,T15A_moe73,T15A_moe74,T15A_moe75,T15A_moe76,T15A_moe77,T15A_moe78,T15A_moe79,T15A_moe80,T15A_moe81,T15A_moe82,T15A_moe83,T15A_moe84,T15A_moe85,T15A_moe86,T15A_moe87
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,10010,40,9970,2760,260,0,15,245,435,0,95,340,560,0,85,480,290,0,15,275,1215,15,130,1070,2795,110,0,10,100,85,0,50,35,255,0,0,255,205,20,20,165,2140,0,30,2105,2180,105,0,0,105,30,0,0,30,155,0,0,155,125,0,0,125,1760,0,20,1740,2240,120,0,15,105,20,0,0,20,60,0,30,25,80,0,0,80,1965,4,50,1910,517,40,518,375,122,28,22,119,198,28,124,165,181,28,92,155,105,28,23,108,218,25,106,221,428,65,28,21,66,72,28,61,29,131,28,28,131,106,33,23,96,365,28,52,366,378,76,28,28,76,49,28,28,49,146,28,28,146,85,28,28,85,340,28,23,345,350,102,28,23,98,23,28,28,23,56,28,46,28,57,28,28,57,313,18,54,324
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,34275,70,34205,4890,570,20,150,405,560,15,15,535,1030,30,235,765,820,35,170,615,1905,25,110,1770,10630,405,10,10,385,495,0,70,425,1830,4,185,1645,1235,0,160,1075,6665,90,290,6285,5245,50,0,25,25,275,0,40,235,280,0,75,205,455,0,90,370,4185,25,55,4105,13440,485,20,80,380,270,0,30,240,970,10,120,835,625,20,45,560,11095,70,640,10385,1025,45,1028,511,219,31,108,177,206,22,24,199,257,29,110,213,246,39,105,220,346,35,65,335,759,196,17,19,193,162,28,60,157,419,28,100,397,223,28,98,206,692,63,128,673,570,49,28,41,27,174,28,55,166,125,28,73,103,186,28,81,165,506,29,34,509,730,163,37,76,150,140,28,38,121,281,14,81,272,228,24,63,214,649,54,191,637
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,2560,0,2560,845,100,0,4,95,45,0,0,45,90,0,35,55,115,0,4,115,490,4,60,430,765,10,0,4,4,10,0,0,10,100,0,4,95,95,0,10,85,545,0,45,500,275,15,10,0,4,4,0,4,0,15,0,0,15,10,0,0,10,230,10,4,210,675,4,0,0,4,30,0,0,30,20,0,0,20,55,0,4,50,560,0,50,510,252,22,252,160,66,22,14,66,34,22,22,34,38,22,26,28,71,22,2,71,120,3,49,100,126,18,22,12,13,16,22,22,16,65,22,9,66,46,22,14,45,100,22,28,100,75,19,15,22,7,11,22,11,22,16,22,22,16,13,22,22,13,68,17,11,65,125,16,22,22,16,36,22,22,36,24,22,22,24,44,22,8,42,109,22,35,102
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,2230,4,2225,1225,60,0,35,25,205,0,15,195,295,0,35,260,145,0,15,130,520,0,20,495,625,0,0,0,0,4,0,0,4,80,10,0,75,60,0,25,35,480,10,4,465,150,0,0,0,0,30,0,30,0,10,0,10,0,0,0,0,0,110,0,4,105,230,0,0,0,0,0,0,0,0,35,0,0,35,0,0,0,0,195,0,10,185,291,2,291,244,49,22,39,33,163,22,23,162,120,22,29,123,92,22,20,88,133,22,21,135,171,22,22,22,22,11,22,22,11,73,15,22,72,46,22,31,36,144,15,22,142,75,22,22,22,22,49,22,49,22,14,22,14,22,22,22,22,22,53,22,8,52,107,22,22,22,22,22,22,22,22,37,22,22,37,22,22,22,22,104,22,14,104
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,8040,75,7965,3375,235,15,50,170,315,4,45,265,805,55,165,585,610,0,110,500,1410,4,140,1260,2745,120,10,45,70,75,15,25,40,325,4,35,285,345,0,45,300,1880,0,75,1800,635,60,4,15,45,4,0,0,4,60,0,10,50,30,0,0,30,485,0,45,440,1210,25,0,15,4,25,0,0,25,140,0,4,140,50,0,0,50,965,10,4,950,426,59,441,343,92,29,45,78,124,4,51,111,213,68,93,165,192,28,79,171,217,15,65,212,301,59,14,49,37,44,23,28,30,109,2,33,103,113,28,38,123,253,28,46,254,169,64,3,18,60,3,28,28,3,69,28,16,67,30,28,28,30,126,28,31,116,241,27,28,27,9,33,28,28,33,97,28,4,99,41,28,28,41,215,13,10,214
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,980,35,945,530,0,0,0,0,0,0,0,0,50,0,0,50,10,0,10,0,475,0,4,470,250,145,0,0,145,20,0,0,20,20,0,0,20,4,0,0,4,55,0,0,55,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,150,20,0,0,20,0,0,0,0,15,0,10,10,0,0,0,0,115,0,15,100,234,51,243,190,19,19,19,19,19,19,19,19,36,19,19,36,14,19,14,19,187,19,11,188,165,154,19,19,154,27,19,19,27,21,19,19,21,13,19,19,13,41,19,19,41,21,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,19,19,21,116,46,19,19,46,19,19,19,19,22,19,14,14,19,19,19,19,91,19,22,89
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,2045,0,2045,870,85,0,10,75,100,0,35,60,175,0,10,165,140,0,4,130,370,0,60,310,400,20,0,0,20,25,0,0,25,20,0,4,15,0,0,0,0,340,10,20,310,250,0,0,0,0,4,0,0,4,0,0,0,0,30,0,0,30,215,0,40,175,525,20,0,0,20,55,0,4,50,55,0,4,45,10,0,0,10,390,0,4,385,195,22,195,154,45,22,19,42,65,22,43,46,70,22,19,65,81,22,14,79,91,22,37,84,95,25,22,22,25,34,22,22,34,17,22,3,18,22,22,22,22,82,13,21,83,67,22,22,22,22,22,22,22,22,22,22,22,22,21,22,22,21,65,22,37,56,116,30,22,22,30,46,22,11,45,45,22,10,44,14,22,22,14,90,22,4,90
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,16475,35,16440,5090,380,0,55,325,400,10,145,245,885,15,195,675,720,0,65,660,2710,4,200,2505,4830,100,0,25,75,210,0,20,190,385,10,45,330,545,10,4,530,3595,4,235,3355,2360,10,0,0,10,70,0,10,60,115,0,15,105,140,0,10,135,2025,0,115,1910,4155,160,0,35,125,90,0,4,90,130,0,10,120,110,10,20,75,3665,15,70,3580,640,45,639,425,150,28,40,138,147,15,86,106,169,23,84,150,193,28,48,188,352,9,95,332,453,63,28,22,60,106,28,22,103,126,17,42,122,174,22,6,177,392,28,98,372,320,17,28,28,17,51,28,13,51,75,28,24,74,75,28,14,76,325,28,90,303,463,72,28,45,69,64,28,6,65,101,28,14,102,51,22,25,51,430,26,55,427
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,4495,10,4485,1780,40,0,10,30,230,0,30,200,360,0,70,295,145,0,40,100,1005,15,80,915,1165,65,0,40,25,115,0,15,100,125,0,25,100,55,0,0,55,805,0,130,675,480,0,0,0,0,10,0,10,4,40,0,20,20,15,0,0,15,410,0,95,320,1060,0,0,0,0,50,0,0,50,80,0,40,35,70,0,0,70,860,15,100,745,372,19,372,277,36,25,14,35,91,25,50,77,119,25,53,108,76,25,49,50,217,23,49,207,201,51,25,33,32,79,25,21,76,68,25,28,68,45,25,25,45,180,25,60,164,148,25,25,25,25,16,25,14,5,38,25,33,20,23,25,25,23,145,25,77,108,203,25,25,25,25,57,25,25,57,48,25,42,27,56,25,25,56,189,24,67,188
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,3300,0,3300,745,65,0,15,50,45,0,20,30,105,0,0,105,175,0,0,175,355,0,60,295,780,0,0,0,0,10,0,0,10,145,0,4,140,25,0,0,25,600,15,75,510,605,85,0,25,60,0,0,0,0,35,0,20,15,20,0,0,20,470,0,4,460,1170,50,0,50,4,35,0,25,10,25,0,4,15,90,0,0,90,970,15,105,855,348,22,348,165,49,22,20,48,29,22,23,20,60,22,22,60,91,22,22,91,103,22,37,100,200,22,22,22,22,16,22,22,16,88,22,2,85,21,22,22,21,161,25,43,151,167,71,22,26,67,22,22,22,22,32,22,22,21,25,22,22,25,139,22,7,139,252,53,22,54,22,32,22,31,15,29,22,16,27,68,22,22,68,225,23,51,218
