source,sumlevel,geoid,name,st,cnty,T17B_est1,T17B_est2,T17B_est3,T17B_est4,T17B_est5,T17B_est6,T17B_est7,T17B_est8,T17B_est9,T17B_est10,T17B_est11,T17B_est12,T17B_est13,T17B_est14,T17B_est15,T17B_est16,T17B_est17,T17B_est18,T17B_est19,T17B_est20,T17B_est21,T17B_moe1,T17B_moe2,T17B_moe3,T17B_moe4,T17B_moe5,T17B_moe6,T17B_moe7,T17B_moe8,T17B_moe9,T17B_moe10,T17B_moe11,T17B_moe12,T17B_moe13,T17B_moe14,T17B_moe15,T17B_moe16,T17B_moe17,T17B_moe18,T17B_moe19,T17B_moe20,T17B_moe21
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,340,175,0,55,0,120,20,0,4,15,0,125,0,0,125,0,15,15,0,0,0,212,130,28,42,28,120,25,28,12,23,28,167,28,28,167,28,24,24,28,28,28
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,15615,2645,295,645,700,1005,845,135,250,360,100,11425,535,2275,3720,4895,705,145,510,45,0,887,460,133,251,243,312,215,118,141,200,63,746,185,420,560,526,208,93,192,33,28
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,310,115,4,75,30,0,50,10,10,30,0,30,0,30,0,0,120,70,50,0,0,128,81,17,63,53,22,42,14,13,39,22,34,22,34,22,22,77,57,58,22,22
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,60,0,0,0,0,0,40,0,40,0,0,10,0,10,0,0,10,10,0,0,0,64,22,22,22,22,22,61,22,61,22,22,17,22,17,22,22,14,14,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,410,115,50,65,0,0,85,70,10,0,4,45,10,40,0,0,165,145,20,0,0,165,87,55,63,28,28,50,48,14,28,17,62,14,61,28,28,87,91,24,28,28
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,0,19,0,19,19,19,19,19,19,19,19,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,555,105,35,65,0,0,265,75,145,45,0,50,0,50,0,0,140,45,100,0,0,145,66,37,48,22,22,98,47,70,42,22,43,22,43,22,22,80,44,69,22,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,680,290,45,160,75,4,70,4,55,10,0,285,0,125,155,0,40,0,40,0,0,190,141,49,117,60,9,46,10,44,13,28,152,28,113,92,28,44,28,44,28,28
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,450,190,40,80,70,0,75,15,25,35,0,160,0,0,80,80,25,0,25,0,0,178,102,52,62,68,25,52,23,35,37,25,123,25,25,90,90,44,25,44,25,25
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,425,255,25,170,10,55,35,10,20,0,0,50,50,0,0,0,85,80,10,0,0,170,151,38,124,14,70,39,21,37,22,22,55,55,22,22,22,67,70,13,22,22
2014thru2018,050,05000US01021,"Chilton County, Alabama",01,021,265,40,0,35,4,0,10,4,0,4,0,0,0,0,0,0,215,30,135,50,0,151,49,25,50,13,25,15,10,25,11,25,25,25,25,25,25,139,44,113,79,25
2014thru2018,050,05000US01023,"Choctaw County, Alabama",01,023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,19,19,19,19,19,0,19,0,19,19,19,19,19,19,19
2014thru2018,050,05000US01025,"Clarke County, Alabama",01,025,135,40,4,35,0,0,4,4,0,0,0,65,30,35,0,0,25,25,0,0,0,94,54,7,54,22,22,22,22,22,22,22,64,45,47,22,22,44,44,22,22,22
2014thru2018,050,05000US01027,"Clay County, Alabama",01,027,80,25,10,0,15,0,10,0,10,0,0,45,0,45,0,0,0,0,0,0,0,47,30,21,19,24,19,16,19,16,19,19,44,19,44,19,19,19,19,19,19,19
2014thru2018,050,05000US01029,"Cleburne County, Alabama",01,029,85,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,65,0,65,0,0,68,31,19,31,19,19,19,19,19,19,19,19,19,19,19,19,64,19,64,19,19
2014thru2018,050,05000US01031,"Coffee County, Alabama",01,031,605,330,90,40,200,0,160,55,105,0,0,70,0,35,35,0,40,20,20,0,0,215,160,68,41,132,28,113,54,94,28,28,83,28,57,57,28,26,22,21,28,28
