source,sumlevel,geoid,name,st,cnty,T2_est1,T2_est2,T2_est3,T2_est4,T2_est5,T2_est6,T2_est7,T2_est8,T2_est9,T2_est10,T2_est11,T2_est12,T2_est13,T2_est14,T2_est15,T2_est16,T2_est17,T2_est18,T2_est19,T2_est20,T2_est21,T2_est22,T2_est23,T2_est24,T2_est25,T2_est26,T2_est27,T2_est28,T2_est29,T2_est30,T2_est31,T2_est32,T2_est33,T2_est34,T2_est35,T2_est36,T2_est37,T2_est38,T2_est39,T2_est40,T2_est41,T2_est42,T2_est43,T2_est44,T2_est45,T2_est46,T2_est47,T2_est48,T2_est49,T2_est50,T2_est51,T2_est52,T2_est53,T2_est54,T2_est55,T2_est56,T2_est57,T2_est58,T2_est59,T2_est60,T2_est61,T2_est62,T2_est63,T2_est64,T2_est65,T2_est66,T2_est67,T2_est68,T2_est69,T2_est70,T2_est71,T2_est72,T2_est73,T2_est74,T2_est75,T2_est76,T2_est77,T2_est78,T2_est79,T2_est80,T2_est81,T2_est82,T2_est83,T2_est84,T2_est85,T2_est86,T2_est87,T2_est88,T2_est89,T2_est90,T2_est91,T2_est92,T2_est93,T2_est94,T2_est95,T2_est96,T2_est97,T2_est98,T2_est99,T2_est100,T2_est101,T2_est102,T2_est103,T2_est104,T2_est105,T2_est106,T2_est107,T2_est108,T2_est109,T2_est110,T2_est111,T2_est112,T2_est113,T2_est114,T2_est115,T2_est116,T2_est117,T2_est118,T2_est119,T2_est120,T2_est121,T2_est122,T2_est123,T2_est124,T2_est125,T2_est126,T2_est127,T2_est128,T2_est129,T2_est130,T2_est131,T2_est132,T2_est133,T2_est134,T2_est135,T2_est136,T2_est137,T2_est138,T2_est139,T2_est140,T2_est141,T2_est142,T2_est143,T2_est144,T2_est145,T2_est146,T2_est147,T2_moe1,T2_moe2,T2_moe3,T2_moe4,T2_moe5,T2_moe6,T2_moe7,T2_moe8,T2_moe9,T2_moe10,T2_moe11,T2_moe12,T2_moe13,T2_moe14,T2_moe15,T2_moe16,T2_moe17,T2_moe18,T2_moe19,T2_moe20,T2_moe21,T2_moe22,T2_moe23,T2_moe24,T2_moe25,T2_moe26,T2_moe27,T2_moe28,T2_moe29,T2_moe30,T2_moe31,T2_moe32,T2_moe33,T2_moe34,T2_moe35,T2_moe36,T2_moe37,T2_moe38,T2_moe39,T2_moe40,T2_moe41,T2_moe42,T2_moe43,T2_moe44,T2_moe45,T2_moe46,T2_moe47,T2_moe48,T2_moe49,T2_moe50,T2_moe51,T2_moe52,T2_moe53,T2_moe54,T2_moe55,T2_moe56,T2_moe57,T2_moe58,T2_moe59,T2_moe60,T2_moe61,T2_moe62,T2_moe63,T2_moe64,T2_moe65,T2_moe66,T2_moe67,T2_moe68,T2_moe69,T2_moe70,T2_moe71,T2_moe72,T2_moe73,T2_moe74,T2_moe75,T2_moe76,T2_moe77,T2_moe78,T2_moe79,T2_moe80,T2_moe81,T2_moe82,T2_moe83,T2_moe84,T2_moe85,T2_moe86,T2_moe87,T2_moe88,T2_moe89,T2_moe90,T2_moe91,T2_moe92,T2_moe93,T2_moe94,T2_moe95,T2_moe96,T2_moe97,T2_moe98,T2_moe99,T2_moe100,T2_moe101,T2_moe102,T2_moe103,T2_moe104,T2_moe105,T2_moe106,T2_moe107,T2_moe108,T2_moe109,T2_moe110,T2_moe111,T2_moe112,T2_moe113,T2_moe114,T2_moe115,T2_moe116,T2_moe117,T2_moe118,T2_moe119,T2_moe120,T2_moe121,T2_moe122,T2_moe123,T2_moe124,T2_moe125,T2_moe126,T2_moe127,T2_moe128,T2_moe129,T2_moe130,T2_moe131,T2_moe132,T2_moe133,T2_moe134,T2_moe135,T2_moe136,T2_moe137,T2_moe138,T2_moe139,T2_moe140,T2_moe141,T2_moe142,T2_moe143,T2_moe144,T2_moe145,T2_moe146,T2_moe147
2014thru2018,050,05000US01001,"Autauga County, Alabama",01,001,21115,15815,1485,835,495,300,0,0,0,0,225,210,20,0,0,0,0,215,205,10,0,0,0,0,4,0,4,0,0,0,0,200,115,0,20,0,0,70,14330,545,330,215,0,0,0,0,1150,820,285,4,20,0,0,1875,1365,470,0,0,0,25,1265,1095,135,0,0,0,10,9490,8200,865,70,15,0,290,5300,1625,910,500,330,70,0,0,0,390,130,245,0,0,0,0,45,20,10,0,0,0,15,4,0,4,0,0,0,0,275,225,55,0,0,0,0,3680,370,150,200,20,0,0,0,530,320,190,0,0,0,20,565,305,260,0,0,0,0,460,310,150,0,0,4,0,1755,1385,315,15,0,0,40,383,493,274,198,169,113,28,28,28,28,102,100,18,28,28,28,28,147,145,15,28,28,28,28,19,28,19,28,28,28,28,124,89,28,34,28,28,74,512,192,157,94,28,28,28,28,228,222,158,5,33,28,28,311,269,149,28,28,28,42,221,215,89,28,28,28,18,545,505,177,56,18,28,170,448,293,235,174,136,86,28,28,28,172,60,160,28,28,28,28,40,31,14,28,28,28,26,11,28,11,28,28,28,28,152,132,76,28,28,28,28,426,133,89,108,40,28,28,28,159,128,91,28,28,28,20,188,155,136,28,28,28,28,164,127,81,28,28,13,28,368,326,154,23,28,28,53
2014thru2018,050,05000US01003,"Baldwin County, Alabama",01,003,78620,57880,5535,2030,1680,260,0,25,0,65,1290,1170,80,4,0,0,40,1185,1070,55,0,4,0,0,310,285,25,0,0,0,0,720,630,30,4,30,0,25,52345,1835,1600,165,0,30,0,15,3140,2435,490,4,0,0,135,7640,6475,515,365,40,0,120,5250,4555,355,20,60,0,255,34490,32110,1010,200,155,0,655,20740,4230,2385,1430,585,0,20,0,325,1170,975,55,0,0,0,145,440,405,30,0,0,0,0,140,110,30,0,0,0,0,95,55,4,0,0,0,35,16510,1330,805,500,0,0,0,15,1940,1245,410,0,0,0,235,4060,3025,735,30,45,0,220,2100,1430,390,20,4,0,100,7080,6235,495,55,15,0,275,1186,1171,509,366,316,135,28,28,28,74,286,278,83,1,28,28,60,287,278,60,28,11,28,28,124,117,33,28,28,28,28,200,194,53,14,47,28,41,1187,345,335,94,28,40,28,30,412,351,208,8,28,28,103,692,604,165,181,46,28,90,601,534,162,37,67,28,156,1031,953,254,127,90,28,224,1051,629,456,341,251,28,26,28,189,365,333,40,28,28,28,128,158,152,43,28,28,28,28,87,72,50,28,28,28,28,72,48,12,28,28,28,53,1004,273,203,169,28,28,28,23,391,250,194,28,28,28,178,555,493,265,40,76,28,165,486,355,185,26,13,28,123,733,656,182,77,28,28,251
2014thru2018,050,05000US01005,"Barbour County, Alabama",01,005,9185,5640,605,280,95,180,0,0,0,10,75,30,45,0,0,0,0,70,45,10,0,0,0,20,30,15,15,0,0,0,0,145,40,105,0,0,0,0,5035,140,50,80,0,0,0,0,400,210,175,0,0,0,15,805,415,370,4,0,0,10,610,395,180,15,0,0,25,3080,2265,755,4,0,0,25,3545,815,450,90,345,0,0,0,0,320,95,205,0,0,0,20,45,15,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2735,575,135,410,0,0,0,25,495,125,315,0,0,0,10,635,220,370,0,0,0,25,245,50,195,0,0,0,0,785,365,360,20,0,0,40,281,284,180,95,53,78,22,22,22,16,53,35,30,22,22,22,22,51,37,14,22,22,22,29,22,14,18,22,22,22,22,127,28,128,22,22,22,22,304,55,32,41,22,22,22,22,92,64,64,22,22,22,16,150,100,102,14,22,22,16,117,93,66,26,22,22,30,268,210,134,3,22,22,22,324,128,111,55,100,22,22,22,22,102,51,85,22,22,22,27,33,23,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,316,148,78,117,22,22,22,35,137,57,113,22,22,22,18,141,82,109,22,22,22,43,91,36,81,22,22,22,22,180,105,129,36,22,22,35
2014thru2018,050,05000US01007,"Bibb County, Alabama",01,007,6840,5135,395,140,135,4,0,0,0,0,105,100,4,0,0,0,0,95,95,0,0,0,0,0,0,0,0,0,0,0,0,60,35,25,0,0,0,0,4740,355,255,80,0,0,0,0,485,295,190,0,0,0,0,975,860,90,0,0,0,20,450,385,65,0,0,0,0,2475,2230,190,20,0,0,25,1705,370,280,165,115,0,0,0,0,65,15,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,15,1335,280,210,70,0,0,0,0,195,135,15,0,0,0,40,455,285,155,0,0,0,15,95,70,25,0,0,0,0,310,240,70,0,0,0,0,320,333,171,84,84,22,22,22,22,22,79,78,5,22,22,22,22,73,73,22,22,22,22,22,22,22,22,22,22,22,22,64,49,40,22,22,22,22,344,126,103,72,22,22,22,22,201,103,165,22,22,22,22,212,195,63,22,22,22,40,160,130,82,22,22,22,22,328,297,131,33,22,22,36,289,163,142,107,98,22,22,22,22,91,21,89,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,20,4,22,22,22,22,21,262,123,99,57,22,22,22,22,102,76,20,22,22,22,55,173,116,124,22,22,22,22,81,60,47,22,22,22,22,129,111,70,22,22,22,22
2014thru2018,050,05000US01009,"Blount County, Alabama",01,009,20600,16195,1390,650,615,4,0,0,0,35,210,180,0,0,0,0,30,385,255,0,0,0,0,120,70,55,0,0,0,0,15,70,70,0,0,0,0,4,14810,1045,870,4,0,10,0,140,1475,1410,4,4,0,0,60,3000,2720,10,4,0,0,230,1885,1780,4,0,15,0,70,7405,7170,20,30,4,0,105,4405,765,555,470,0,0,0,0,85,150,150,0,0,0,0,0,30,10,0,0,0,0,25,10,10,0,0,0,0,0,20,15,0,0,0,0,4,3640,710,650,0,0,0,0,60,895,810,4,0,0,0,75,950,780,70,4,0,0,60,365,345,0,0,0,0,20,720,665,35,0,0,0,15,396,495,268,182,183,3,28,28,28,38,97,96,28,28,28,28,46,158,143,28,28,28,28,86,45,45,28,28,28,28,27,51,50,28,28,28,28,5,485,224,211,6,28,14,28,92,261,267,6,2,28,28,45,349,342,13,4,28,28,125,296,282,4,28,24,28,67,426,416,25,28,5,28,81,411,167,147,130,28,28,28,28,64,74,74,28,28,28,28,28,33,15,28,28,28,28,28,14,14,28,28,28,28,28,22,23,28,28,28,28,3,393,199,196,28,28,28,28,49,259,242,9,28,28,28,72,255,230,89,28,28,28,66,126,124,28,28,28,28,22,176,168,54,28,28,28,18
2014thru2018,050,05000US01011,"Bullock County, Alabama",01,011,3610,2725,335,155,0,155,0,0,0,0,110,0,110,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,35,0,35,0,0,0,0,2390,290,15,270,0,0,0,4,140,55,85,0,0,0,0,285,50,240,0,0,0,0,170,45,85,0,45,0,0,1505,625,860,0,0,0,15,885,290,220,0,220,0,0,0,0,60,0,60,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,280,4,245,0,0,0,30,100,0,100,0,0,0,0,65,4,60,0,0,0,0,90,10,80,0,0,0,0,60,15,40,0,0,0,0,196,213,113,90,19,90,19,19,19,19,61,19,61,19,19,19,19,46,19,46,19,19,19,19,19,19,19,19,19,19,19,51,19,51,19,19,19,19,231,192,32,191,19,19,19,3,80,52,54,19,19,19,19,116,37,109,19,19,19,19,91,52,58,19,52,19,19,224,115,195,19,19,19,27,193,127,126,19,126,19,19,19,19,59,19,59,19,19,19,19,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,159,115,9,113,19,19,19,40,82,19,82,19,19,19,19,62,9,60,19,19,19,19,85,15,85,19,19,19,19,54,27,48,19,19,19,19
2014thru2018,050,05000US01013,"Butler County, Alabama",01,013,6710,4690,465,195,90,95,0,0,0,10,135,35,95,0,0,0,4,50,35,10,0,0,0,0,40,40,0,0,0,0,0,45,20,25,0,0,0,0,4225,145,95,45,0,0,0,10,425,155,270,0,0,0,0,675,350,325,0,0,0,0,370,180,190,0,4,0,0,2610,1995,565,4,4,0,0,2015,375,225,75,130,10,0,0,15,70,15,55,0,0,0,0,50,20,10,0,0,0,0,15,0,15,0,0,0,0,15,0,15,0,0,0,0,1640,355,110,230,0,0,0,0,265,110,155,0,0,0,0,185,50,125,0,0,0,10,230,95,140,0,0,0,0,605,325,250,30,0,0,0,272,232,109,66,50,48,22,22,22,14,74,32,65,22,22,22,12,35,32,18,22,22,22,22,33,33,22,22,22,22,22,32,19,29,22,22,22,22,226,56,50,28,22,22,22,13,109,48,96,22,22,22,22,120,92,93,22,22,22,22,111,73,88,22,6,22,22,207,183,102,2,4,22,22,235,90,62,42,50,14,22,22,23,45,15,42,22,22,22,22,42,24,22,22,22,22,22,29,22,29,22,22,22,22,16,22,16,22,22,22,22,207,99,55,84,22,22,22,22,77,50,64,22,22,22,22,56,31,50,22,22,22,15,88,52,70,22,22,22,22,132,102,82,26,22,22,22
2014thru2018,050,05000US01015,"Calhoun County, Alabama",01,015,45035,31285,2610,1170,710,390,0,10,0,10,625,465,135,0,0,0,10,275,230,15,0,10,0,20,125,65,40,0,0,0,0,410,380,15,0,0,0,15,28675,1155,905,175,30,10,10,25,1785,1305,375,90,0,0,4,4090,2985,770,85,0,0,165,2775,2140,485,15,0,0,70,18870,16075,2205,140,80,0,240,13745,3225,1765,795,895,0,4,0,20,1005,410,460,15,10,0,65,315,235,75,0,0,0,0,35,35,0,0,0,0,0,105,60,20,0,0,0,30,10520,1085,510,530,10,0,0,0,1710,1035,630,0,0,0,20,2600,1500,935,0,0,0,120,1020,655,220,0,0,0,60,4105,2825,1105,35,4,0,100,681,654,332,210,154,153,28,14,28,15,169,117,96,28,28,28,20,119,109,18,28,19,28,31,67,43,42,28,28,28,28,153,155,27,28,28,28,26,671,201,192,81,39,16,13,28,270,229,125,93,28,28,9,404,340,180,74,28,28,83,320,262,153,24,28,28,54,629,586,267,81,52,28,95,711,379,279,186,227,28,10,28,25,286,174,199,26,15,28,56,137,126,50,28,28,28,28,35,35,28,28,28,28,28,57,46,29,28,28,28,35,694,201,155,156,16,28,28,28,310,254,189,28,28,28,27,347,281,187,28,28,28,84,209,192,86,28,28,28,51,561,457,251,32,13,28,67
2014thru2018,050,05000US01017,"Chambers County, Alabama",01,017,13515,9160,920,275,125,145,0,0,0,0,380,170,175,0,0,0,40,185,90,95,0,0,0,0,4,4,0,0,0,0,0,70,60,10,0,0,0,0,8240,260,195,65,0,0,0,0,705,380,275,0,0,0,50,1370,780,575,0,15,0,0,880,600,280,0,0,0,0,5025,3475,1440,4,10,0,70,4355,1125,505,115,355,0,0,0,35,290,115,155,10,15,0,0,205,4,200,0,0,0,0,55,20,35,0,0,0,0,70,35,35,0,0,0,0,3230,310,160,150,0,0,0,0,285,110,165,0,0,0,0,770,205,480,0,0,0,85,295,230,65,0,0,0,0,1570,765,570,125,15,0,80,372,398,180,99,55,84,25,25,25,25,137,86,80,25,25,25,61,76,52,60,25,25,25,25,13,13,25,25,25,25,25,57,52,22,25,25,25,25,381,93,76,45,25,25,25,25,164,135,103,25,25,25,57,194,151,151,25,26,25,25,177,145,100,25,25,25,25,316,251,189,9,20,25,72,436,242,150,66,127,25,25,25,58,105,67,83,19,23,25,25,116,15,116,25,25,25,25,62,34,57,25,25,25,25,55,31,44,25,25,25,25,401,115,95,76,25,25,25,25,109,50,88,25,25,25,25,187,78,155,25,25,25,92,109,102,47,25,25,25,25,308,200,171,70,24,25,91
2014thru2018,050,05000US01019,"Cherokee County, Alabama",01,019,10605,8375,765,365,355,0,0,0,0,15,145,145,0,0,0,0,0,140,125,15,0,0,0,0,75,60,0,0,0,0,15,40,40,0,0,0,0,0,7610,225,225,0,0,4,0,0,590,515,70,0,0,0,0,1365,1195,105,0,15,0,50,715,660,50,0,0,0,0,4715,4510,140,0,20,0,15,2230,400,220,210,0,0,0,0,10,100,100,0,0,0,0,0,40,40,0,0,0,0,0,30,30,0,0,0,0,0,10,10,0,0,0,0,0,1830,255,210,10,0,0,0,35,315,315,0,0,0,0,0,510,455,40,0,0,0,15,180,180,0,0,0,0,0,570,520,45,0,0,0,4,370,411,167,135,135,22,22,22,22,24,60,60,22,22,22,22,22,80,78,23,22,22,22,22,60,57,22,22,22,22,31,31,31,22,22,22,22,22,416,93,93,22,22,4,22,22,151,143,57,22,22,22,22,252,207,90,22,24,22,69,160,157,51,22,22,22,22,397,361,80,22,21,22,27,323,133,92,89,22,22,22,22,21,68,68,22,22,22,22,22,42,42,22,22,22,22,22,46,46,22,22,22,22,22,18,18,22,22,22,22,22,311,121,105,15,22,22,22,48,126,126,22,22,22,22,22,169,165,54,22,22,22,29,130,130,22,22,22,22,22,184,173,52,22,22,22,9
